Parent Genre,Genre / Subgenre,Level,BPM Min,BPM Max,Typical BPM,Common Keys,Camelot,Drum Feel,DJ Set Placement,Energy (1-10),Mixes Well With,Transition Tip,Sound Colour FX,Beat FX,Transition Loop (bars),Beat FX Setting (beat),Beat FX Depth (%),Mix-In / Mix-Out,Vocal Density / Layerability,Double-Drop / Mashup,Blend Length (bars),Intro (bars),Intro Feel,Build (bars),Build Feel,Drop/Main (bars),Drop/Main Feel,Breakdown (bars),Breakdown Feel,Outro (bars),Outro Feel,Typical Length,Phrasing,Track Structure,Origin,Era,Sound Signature,Sound Design / Instrumentation,Drum Programming,Harmony Approach,Production Techniques,Scale / Mode,Chord Progression,Essential Synths / Plugins,Mix / Master Targets,Representative Artists,Landmark Track,Key Labels,Peak / Momentum (yrs),Fuses Into / Related,Notes,Top Track 1,Top Track 2,Top Track 3,Top Track 4,Top Track 5
Nu Disco / Disco,Nu Disco / Disco,Genre,115,125,115-125,"Major & minor (C/G maj, A min)","8B, 9B, 8A",Four-on-the-floor,Warmup,5,"House, Funky House, Indie Dance","Long harmonic blend, EQ trade",Filter + Sweep - classic disco filter sweeps,Echo & Reverb for warmth; Roll for a quick lift,4-8 bars,Echo 1/1; Reverb,30-50%,In: intro. Out: breakdown / outro,Med-High - often vocal-led,Low - filter/groove blend,16-32 bars,16,"Funky, feel-good entry",16,Filter & string tension lifts,32,"Joyful peak - disco strut, hands-in-air fun",16,"Vocal/strings breather, groove eases",16,Funky tail for mix,5-7 min,16/32-bar,Extended DJ arrangement: 16-32 bar beat/percussive intro -> groove build -> breakdown -> drop/main section -> second groove -> 16-32 bar outro. 8/16/32-bar phrasing for mixing.,Europe/USA,2000s,Disco/funk revival with modern production,"Live-style funk bass, string stabs, guitar licks, analog synths","Four-on-floor with disco hats, live-feel percussion, tambourine","Funky major/minor 7th chords, disco progressions","Filtered disco loops, tape warmth, sidechain, live-instrument feel","Major & minor, funky 7ths",I-vi disco / ii7-V7 funky,"Juno, live bass, string machine; Diva","Master ~-8 LUFS; warm, wide strings; mono bass","Purple Disco Machine, Dimitri From Paris",Purple Disco Machine - Hypnotized,"Glitterbox, Defected",2015-present,"Funky House, House",,Inspector Norse - Todd Terje (2012),Hypnotized - Purple Disco Machine (2020),Baby I'm Yours - Breakbot (2010),I Feel Space - Lindstrom (2005),Music Sounds Better with You - Stardust (1998)
Nu Disco / Disco,Funk / Soul,Subgenre,110,120,110-120,"Major & minor (C/G maj, A min)","8B, 9B, 8A",,,5,"House, Funky House, Indie Dance","Long harmonic blend, EQ trade",Filter + Sweep - classic disco filter sweeps,Echo & Reverb for warmth; Roll for a quick lift,4-8 bars,Echo 1/1; Reverb,30-50%,In: intro. Out: breakdown / outro,Med-High - often vocal-led,Low - filter/groove blend,16-32 bars,16,"Funky, feel-good entry",16,Filter & string tension lifts,32,"Joyful peak - disco strut, hands-in-air fun",16,"Vocal/strings breather, groove eases",16,Funky tail for mix,5-7 min,16/32-bar,Extended DJ arrangement: 16-32 bar beat/percussive intro -> groove build -> breakdown -> drop/main section -> second groove -> 16-32 bar outro. 8/16/32-bar phrasing for mixing.,,,Nu-disco leaning on live funk/soul samples and basslines,"Live-style funk bass, string stabs, guitar licks, analog synths","Four-on-floor with disco hats, live-feel percussion, tambourine","Funky major/minor 7th chords, disco progressions","Filtered disco loops, tape warmth, sidechain, live-instrument feel","Major & minor, funky 7ths",I-vi disco / ii7-V7 funky,"Juno, live bass, string machine; Diva","Master ~-8 LUFS; warm, wide strings; mono bass",,,,,Nu Disco / Disco,,,,,,
Nu Disco / Disco,Italo Disco,Subgenre,118,125,118-125,"Major & minor (C/G maj, A min)","8B, 9B, 8A",,,5,"House, Funky House, Indie Dance","Long harmonic blend, EQ trade",Filter + Sweep - classic disco filter sweeps,Echo & Reverb for warmth; Roll for a quick lift,4-8 bars,Echo 1/1; Reverb,30-50%,In: intro. Out: breakdown / outro,Med-High - often vocal-led,Low - filter/groove blend,16-32 bars,16,"Funky, feel-good entry",16,Filter & string tension lifts,32,"Joyful peak - disco strut, hands-in-air fun",16,"Vocal/strings breather, groove eases",16,Funky tail for mix,5-7 min,16/32-bar,Extended DJ arrangement: 16-32 bar beat/percussive intro -> groove build -> breakdown -> drop/main section -> second groove -> 16-32 bar outro. 8/16/32-bar phrasing for mixing.,,,"80s European disco - analog synths, drum machines, catchy melodies","Live-style funk bass, string stabs, guitar licks, analog synths","Four-on-floor with disco hats, live-feel percussion, tambourine","Funky major/minor 7th chords, disco progressions","Filtered disco loops, tape warmth, sidechain, live-instrument feel","Major & minor, funky 7ths",I-vi disco / ii7-V7 funky,"Juno, live bass, string machine; Diva","Master ~-8 LUFS; warm, wide strings; mono bass",,,,,Nu Disco / Disco,,,,,,
Organic House,Organic House,Genre,110,122,110-122,Minor/modal (D/A min),"7A, 8A",Four-on-the-floor,Warmup/Afterhours,3,"Downtempo, Deep House, Melodic House","Long textural blend, no hard drop","Filter + Space + Dub Echo - textural, atmospheric","Reverb, Echo & Ping-Pong for long organic tails",8-16 bars,Reverb; Echo 1/1; Ping-Pong,30-60%,In/Out: over the long intro/outro - forgiving,Med - ethnic vocals/chants; check,Low - textural blend,16-32 bars,32,"Earthy, textural entry - slow immersion",-,Organic layers & percussion build,32,"Warm hypnotic groove - ethnic textures, deep pocket",16,Atmospheric suspension - instruments breathe,32,Textural fade for mix,6-8 min,16/32-bar,Extended DJ arrangement: 16-32 bar beat/percussive intro -> groove build -> breakdown -> drop/main section -> second groove -> 16-32 bar outro. 8/16/32-bar phrasing for mixing.,Europe,mid 2010s,"Downtempo-leaning, organic instruments, ethnic textures","Ethnic/organic instruments, hand percussion, field textures, warm bass","Downtempo-leaning 4/4, hand drums, shakers, organic groove","Modal/minor, folk-tinged melodies","Layered organic textures, reverb space, subtle builds, warmth","Dorian / minor, world scales","Modal i vamp, sparse","Organic instruments, Rhodes; Kontakt","Dynamic master ~-9 LUFS; wide, textural; mono sub","Bedouin, Sabo, Lee Burridge",,"All Day I Dream, Crosstown Rebels",2017-present,"Downtempo, Melodic House",,Beginning - Ben Bohmer (2019),Brightest Lights - Lane 8 (2020),Innerbloom - RUFUS DU SOL (2016),Because You Move Me - Tinlicker (2019),The Owls - Yotto
Progressive House,Progressive House,Genre,124,130,124-130,Minor (A/F#/C min),"8A, 11A, 5A",Four-on-the-floor,Peak,5,"Melodic House & Techno, Trance, Deep House","Blend through the breakdown, long EQ trade",Filter + Sweep - long cinematic filter rides,"Reverb, Echo & Ping-Pong through the breakdown",8-16 bars,Reverb; Echo 1/1,30-60%,In: 16-32 bar intro. Out: through the breakdown,Med - vocal hooks; check,Low-Med - align on the drop,32 bars,32,"Deep, patient entry - understated groove",16,"Slow cinematic build, layers accrue",32,"Melodic momentum - lush, hypnotic forward drive",32,Cinematic breakdown - melodic swell & release,32,Long graceful outro for mix,6-8 min,16/32-bar,Extended DJ arrangement: 16-32 bar beat/percussive intro -> groove build -> breakdown -> drop/main section -> second groove -> 16-32 bar outro. 8/16/32-bar phrasing for mixing.,UK,early 1990s,"Long cinematic builds, layered melodies","Warm analog leads, evolving pads, deep bass, subtle plucks","Steady 4/4, understated hats, long percussive evolution","Slow-evolving minor chord progressions, layered melodies","Long automation, layered sidechain, cinematic breakdown, patience",Natural minor,i-VII-VI-VII slow-evolving,"Spire, Nexus, Diva; sub bass",Master ~-8 LUFS; cinematic space; sidechain pads,"Eric Prydz, Deadmau5",Eric Prydz - Opus,"Anjunabeats, Pryda",peak 2011-15,"Melodic House, Trance",,Strobe - deadmau5 (2009),Opus - Eric Prydz (2015),Ghosts 'n' Stuff - deadmau5 (2008),Pjanoo - Eric Prydz (2008),Every Day - Eric Prydz (2012)
Psy-Trance,Psy-Trance,Genre,140,150,140-150,Minor/Phrygian (A/E min),"8A, 9A",Four-on-the-floor,Peak/Festival,8,"Trance, Techno (Psy-Techno)","Long rolling-bass blend, swap on the kick","Filter + Noise - noise builds, filter on the rolling bass",Spiral & Echo for psychedelia; Reverb/Flanger in breaks,8-16 bars,Spiral 1/1; Echo 1/1; Reverb,40-70%,In: 32-bar intro. Out: long rolling outro,"Low - mostly instrumental, safe to layer","Low - continuous roll, not drops",32 bars,32,Rolling bass hypnosis begins,-,"Psychedelic layers stack, tension coils",32,Full rolling bassline - relentless trance-inducing drive,16-32,Trippy atmospheric suspension,32,Rolls out for mix,7-8 min,16/32-bar,"Intro (32+ bars) -> rolling bassline build -> psychedelic breakdown -> peak section -> long outro. Continuous 4/4, few hard drops.","Goa, India",1990s,"Rolling bassline, psychedelic FX, 140+ BPM","Rolling 16th bassline, squelchy acid, psychedelic FX, atmospheric pads","Driving 4/4 kick locked to rolling bass, tight hats, rides","Minor/Phrygian, hypnotic riffs over melody","Tight kick-bass coupling, layered FX, stereo psychedelia, automation",Phrygian / Phrygian dominant,"Static i (Phrygian) rolling, minimal","Rolling bass (Serum/Vital), FM, TB-303; Serum",Master ~-7 LUFS; tight kick-bass; wide FX; mono sub,"Vini Vici, Astrix",Vini Vici - Great Spirit,"Iboga, Nano",1996-present,"Goa Trance, Full-On",1001 'Goa/Psy-Trance',Great Spirit - Vini Vici & Armin van Buuren ft Hilight Tribe (2016),Kabbalah - Astrix (2004),Becoming Insane - Infected Mushroom (2007),Mahadeva - Astral Projection (1996),Free Tibet (Vini Vici rmx) - Hilight Tribe (2015)
Psy-Trance,Full-On,Subgenre,140,148,140-148,Minor/Phrygian (A/E min),"8A, 9A",Four-on-the-floor,Festival,8,"Trance, Techno (Psy-Techno)","Long rolling-bass blend, swap on the kick","Filter + Noise - noise builds, filter on the rolling bass",Spiral & Echo for psychedelia; Reverb/Flanger in breaks,8-16 bars,Spiral 1/1; Echo 1/1; Reverb,40-70%,In: 32-bar intro. Out: long rolling outro,"Low - mostly instrumental, safe to layer","Low - continuous roll, not drops",32 bars,32,Rolling bass hypnosis begins,-,"Psychedelic layers stack, tension coils",32,Full rolling bassline - relentless trance-inducing drive,16-32,Trippy atmospheric suspension,32,Rolls out for mix,7-8 min,16/32-bar,"Intro (32+ bars) -> rolling bassline build -> psychedelic breakdown -> peak section -> long outro. Continuous 4/4, few hard drops.",Israel/Goa,2000s,"Energetic, driving psy-trance, rolling bass","Rolling 16th bassline, squelchy acid, psychedelic FX, atmospheric pads","Driving 4/4 kick locked to rolling bass, tight hats, rides","Minor/Phrygian, hypnotic riffs over melody","Tight kick-bass coupling, layered FX, stereo psychedelia, automation",Phrygian / Phrygian dominant,"Static i (Phrygian) rolling, minimal","Rolling bass (Serum/Vital), FM, TB-303; Serum",Master ~-7 LUFS; tight kick-bass; wide FX; mono sub,"Astrix, Vini Vici",,,2005-present,Psy-Trance,,,,,,
Psy-Trance,Progressive Psy,Subgenre,134,140,134-140,Minor/Phrygian (A/E min),"8A, 9A",,,8,"Trance, Techno (Psy-Techno)","Long rolling-bass blend, swap on the kick","Filter + Noise - noise builds, filter on the rolling bass",Spiral & Echo for psychedelia; Reverb/Flanger in breaks,8-16 bars,Spiral 1/1; Echo 1/1; Reverb,40-70%,In: 32-bar intro. Out: long rolling outro,"Low - mostly instrumental, safe to layer","Low - continuous roll, not drops",32 bars,32,Rolling bass hypnosis begins,-,"Psychedelic layers stack, tension coils",32,Full rolling bassline - relentless trance-inducing drive,16-32,Trippy atmospheric suspension,32,Rolls out for mix,7-8 min,16/32-bar,"Intro (32+ bars) -> rolling bassline build -> psychedelic breakdown -> peak section -> long outro. Continuous 4/4, few hard drops.",,,"Slower, hypnotic psy (~134-140) - rolling groove, less frantic","Rolling 16th bassline, squelchy acid, psychedelic FX, atmospheric pads","Driving 4/4 kick locked to rolling bass, tight hats, rides","Minor/Phrygian, hypnotic riffs over melody","Tight kick-bass coupling, layered FX, stereo psychedelia, automation",Phrygian / Phrygian dominant,"Static i (Phrygian) rolling, minimal","Rolling bass (Serum/Vital), FM, TB-303; Serum",Master ~-7 LUFS; tight kick-bass; wide FX; mono sub,,,,,Psy-Trance,,,,,,
Psy-Trance,Psychedelic,Subgenre,140,150,140-150,Minor/Phrygian (A/E min),"8A, 9A",,,8,"Trance, Techno (Psy-Techno)","Long rolling-bass blend, swap on the kick","Filter + Noise - noise builds, filter on the rolling bass",Spiral & Echo for psychedelia; Reverb/Flanger in breaks,8-16 bars,Spiral 1/1; Echo 1/1; Reverb,40-70%,In: 32-bar intro. Out: long rolling outro,"Low - mostly instrumental, safe to layer","Low - continuous roll, not drops",32 bars,32,Rolling bass hypnosis begins,-,"Psychedelic layers stack, tension coils",32,Full rolling bassline - relentless trance-inducing drive,16-32,Trippy atmospheric suspension,32,Rolls out for mix,7-8 min,16/32-bar,"Intro (32+ bars) -> rolling bassline build -> psychedelic breakdown -> peak section -> long outro. Continuous 4/4, few hard drops.",,,"Trippy, layered full-power psy-trance with swirling FX","Rolling 16th bassline, squelchy acid, psychedelic FX, atmospheric pads","Driving 4/4 kick locked to rolling bass, tight hats, rides","Minor/Phrygian, hypnotic riffs over melody","Tight kick-bass coupling, layered FX, stereo psychedelia, automation",Phrygian / Phrygian dominant,"Static i (Phrygian) rolling, minimal","Rolling bass (Serum/Vital), FM, TB-303; Serum",Master ~-7 LUFS; tight kick-bass; wide FX; mono sub,,,,,Psy-Trance,,,,,,
Psy-Trance,Goa Trance,Subgenre,140,150,140-150,Minor/Phrygian (A/E min),"8A, 9A",Four-on-the-floor,Peak,8,"Trance, Techno (Psy-Techno)","Long rolling-bass blend, swap on the kick","Filter + Noise - noise builds, filter on the rolling bass",Spiral & Echo for psychedelia; Reverb/Flanger in breaks,8-16 bars,Spiral 1/1; Echo 1/1; Reverb,40-70%,In: 32-bar intro. Out: long rolling outro,"Low - mostly instrumental, safe to layer","Low - continuous roll, not drops",32 bars,32,Rolling bass hypnosis begins,-,"Psychedelic layers stack, tension coils",32,Full rolling bassline - relentless trance-inducing drive,16-32,Trippy atmospheric suspension,32,Rolls out for mix,7-8 min,16/32-bar,"Intro (32+ bars) -> rolling bassline build -> psychedelic breakdown -> peak section -> long outro. Continuous 4/4, few hard drops.","Goa, India",1990s,"Organic psychedelic layers, Eastern melodies","Rolling 16th bassline, squelchy acid, psychedelic FX, atmospheric pads","Driving 4/4 kick locked to rolling bass, tight hats, rides","Minor/Phrygian, hypnotic riffs over melody","Tight kick-bass coupling, layered FX, stereo psychedelia, automation",Phrygian / Phrygian dominant,"Static i (Phrygian) rolling, minimal","Rolling bass (Serum/Vital), FM, TB-303; Serum",Master ~-7 LUFS; tight kick-bass; wide FX; mono sub,Astral Projection,,,1994-99 (niche),Psy-Trance,,,,,,
Psy-Trance,Dark & Forest,Subgenre,145,160,145-160,Minor/Phrygian (A/E min),"8A, 9A",,,8,"Trance, Techno (Psy-Techno)","Long rolling-bass blend, swap on the kick","Filter + Noise - noise builds, filter on the rolling bass",Spiral & Echo for psychedelia; Reverb/Flanger in breaks,8-16 bars,Spiral 1/1; Echo 1/1; Reverb,40-70%,In: 32-bar intro. Out: long rolling outro,"Low - mostly instrumental, safe to layer","Low - continuous roll, not drops",32 bars,32,Rolling bass hypnosis begins,-,"Psychedelic layers stack, tension coils",32,Full rolling bassline - relentless trance-inducing drive,16-32,Trippy atmospheric suspension,32,Rolls out for mix,7-8 min,16/32-bar,"Intro (32+ bars) -> rolling bassline build -> psychedelic breakdown -> peak section -> long outro. Continuous 4/4, few hard drops.",,,"Fast, dark, dense psy - eerie atmospheres and rolling bass","Rolling 16th bassline, squelchy acid, psychedelic FX, atmospheric pads","Driving 4/4 kick locked to rolling bass, tight hats, rides","Minor/Phrygian, hypnotic riffs over melody","Tight kick-bass coupling, layered FX, stereo psychedelia, automation",Phrygian / Phrygian dominant,"Static i (Phrygian) rolling, minimal","Rolling bass (Serum/Vital), FM, TB-303; Serum",Master ~-7 LUFS; tight kick-bass; wide FX; mono sub,,,,,Psy-Trance,,,,,,
Psy-Trance,Psycore & Hi-Tech,Subgenre,180,220,180-220,Minor/Phrygian (A/E min),"8A, 9A",,,8,"Trance, Techno (Psy-Techno)","Long rolling-bass blend, swap on the kick","Filter + Noise - noise builds, filter on the rolling bass",Spiral & Echo for psychedelia; Reverb/Flanger in breaks,8-16 bars,Spiral 1/1; Echo 1/1; Reverb,40-70%,In: 32-bar intro. Out: long rolling outro,"Low - mostly instrumental, safe to layer","Low - continuous roll, not drops",32 bars,32,Rolling bass hypnosis begins,-,"Psychedelic layers stack, tension coils",32,Full rolling bassline - relentless trance-inducing drive,16-32,Trippy atmospheric suspension,32,Rolls out for mix,7-8 min,16/32-bar,"Intro (32+ bars) -> rolling bassline build -> psychedelic breakdown -> peak section -> long outro. Continuous 4/4, few hard drops.",,,"Ultra-fast (190-220), chaotic, glitchy extreme psytrance","Rolling 16th bassline, squelchy acid, psychedelic FX, atmospheric pads","Driving 4/4 kick locked to rolling bass, tight hats, rides","Minor/Phrygian, hypnotic riffs over melody","Tight kick-bass coupling, layered FX, stereo psychedelia, automation",Phrygian / Phrygian dominant,"Static i (Phrygian) rolling, minimal","Rolling bass (Serum/Vital), FM, TB-303; Serum",Master ~-7 LUFS; tight kick-bass; wide FX; mono sub,,,,,Psy-Trance,,,,,,
Tech House,Tech House,Genre,124,128,124-128,Minor (A/G/F min),"8A, 6A, 4A",Four-on-the-floor,Peak,6,"House, Techno, Minimal/Deep Tech, Bass House","Long loop blend, bass swap on the drop","Filter + Crush - filter for groove blends, light crush for grit",Roll to build the drop; Echo & Trans for rhythmic chops,4 bars; 1-bar roll,Roll 1/8-1/4; Echo 1/2,30-50%; ~80% on the build,In: 16-bar intro. Out: on the drop or breakdown,"Low - tool-like, safe to layer & loop","Low-Med - drop-swap works, no true double-drop",16-32 bars,16,"Rolling perc tool - punchy, functional in",16,Bass tease & filter tension,32,"Bouncy peak groove - relentless, hooky bass drive",16,"Bass cut, vocal/FX suspense",16-32,Groove strips for the mix,5-7 min,16/32-bar,Extended DJ arrangement: 16-32 bar beat/percussive intro -> groove build -> breakdown -> drop/main section -> second groove -> 16-32 bar outro. 8/16/32-bar phrasing for mixing.,UK,late 1990s,"Stripped percussion + tech bass, DJ-tool functionality","Punchy kick, plucky tech bass, vocal chops, percussive stabs","Tight kick, rolling offbeat hats, shakers/congas, tight swing","Minimal - one bass hook + few stabs, dark minor","Heavy bass-kick sidechain, hooky vocal chops, groove-first mix","Natural minor, minimal",Single-chord vamp / one bass riff,"Serum bass, sampled vocal chops; Serum, Vital",Master ~-7 to -9 LUFS (club); sub in mono <120Hz; sidechain bass to kick,"Fisher, Michael Bibi, Hot Since 82",Fisher - Losing It,"Hot Creations, Solid Grooves",peak 2017-present,"Techno, Minimal/Deep Tech",,Losing It - Fisher (2018),Cola - CamelPhat & Elderbrook (2017),La La Land - Green Velvet & Harvard Bass (2011),You Little Beauty - Fisher (2019),Deep End - John Summit (2020)
Tech House,Latin Tech,Subgenre,124,128,124-128,Minor (A/G/F min),"8A, 6A, 4A",,,6,"House, Techno, Minimal/Deep Tech, Bass House","Long loop blend, bass swap on the drop","Filter + Crush - filter for groove blends, light crush for grit",Roll to build the drop; Echo & Trans for rhythmic chops,4 bars; 1-bar roll,Roll 1/8-1/4; Echo 1/2,30-50%; ~80% on the build,In: 16-bar intro. Out: on the drop or breakdown,"Low - tool-like, safe to layer & loop","Low-Med - drop-swap works, no true double-drop",16-32 bars,16,"Rolling perc tool - punchy, functional in",16,Bass tease & filter tension,32,"Bouncy peak groove - relentless, hooky bass drive",16,"Bass cut, vocal/FX suspense",16-32,Groove strips for the mix,5-7 min,16/32-bar,Extended DJ arrangement: 16-32 bar beat/percussive intro -> groove build -> breakdown -> drop/main section -> second groove -> 16-32 bar outro. 8/16/32-bar phrasing for mixing.,,,Tech house with Latin percussion and guaracha-style energy,"Punchy kick, plucky tech bass, vocal chops, percussive stabs","Tight kick, rolling offbeat hats, shakers/congas, tight swing","Minimal - one bass hook + few stabs, dark minor","Heavy bass-kick sidechain, hooky vocal chops, groove-first mix","Natural minor, minimal",Single-chord vamp / one bass riff,"Serum bass, sampled vocal chops; Serum, Vital",Master ~-7 to -9 LUFS (club); sub in mono <120Hz; sidechain bass to kick,,,,,"Tech House, Latin Electronic",,,,,,
